customer_id,signup_date,country,age_group,subscription_plan,billing_cycle,monthly_fee,acquisition_channel,device_type,status,churn_date
102,2024-04-28,India,55+,Basic,Monthly,9.99,TikTok,Desktop,Active,
103,2024-04-08,Singapore,55+,Basic,Monthly,9.99,Referral,Tablet,Active,
104,2024-02-21,Germany,25-34,Premium,Monthly,14.99,Facebook,Mobile,Active,
105,2024-12-28,USA,55+,Standard,Monthly,12.99,Facebook,Desktop,Active,
106,2024-11-22,USA,55+,Premium,Monthly,14.99,Facebook,Smart TV,Active,
107,2024-09-02,USA,35-44,Basic,Monthly,9.99,YouTube,Mobile,Active,
108,2024-02-03,USA,25-34,Basic,Monthly,9.99,Instagram,Tablet,Active,
109,2024-02-13,France,55+,Premium,Monthly,14.99,Referral,Desktop,Active,
110,2024-09-24,Australia,55+,Basic,Annual,9.99,YouTube,Tablet,Active,
111,2024-10-18,India,25-34,Standard,Monthly,12.99,TikTok,Desktop,Active,
112,2024-05-15,UK,55+,Standard,Monthly,12.99,Google Ads,Desktop,Active,
113,2024-01-02,Brazil,35-44,Basic,Monthly,9.99,Google Ads,Desktop,Active,
114,2024-05-27,Brazil,18-24,Standard,Annual,12.99,TikTok,Desktop,Active,
115,2024-05-15,Canada,45-54,Standard,Monthly,12.99,Google Ads,Desktop,Active,
116,2024-11-27,UK,18-24,Basic,Monthly,9.99,Google Ads,Desktop,Active,
117,2024-06-06,Australia,45-54,Standard,Annual,12.99,Google Ads,Smart TV,Active,
118,2024-12-18,Australia,55+,Basic,Monthly,9.99,Referral,Smart TV,Active,
119,2024-08-12,France,35-44,Basic,Monthly,9.99,Referral,Tablet,Active,
120,2024-01-14,Singapore,55+,Basic,Annual,9.99,Google Ads,Tablet,Active,
121,2024-10-22,Brazil,55+,Basic,Annual,9.99,TikTok,Smart TV,Active,
122,2024-05-22,Brazil,18-24,Basic,Monthly,9.99,YouTube,Tablet,Active,
123,2024-07-28,UK,35-44,Basic,Monthly,9.99,YouTube,Smart TV,Active,
124,2024-05-27,UAE,18-24,Standard,Monthly,12.99,YouTube,Mobile,Active,
125,2024-06-10,France,55+,Basic,Monthly,9.99,Google Ads,Smart TV,Active,
126,2024-07-30,Singapore,45-54,Basic,Monthly,9.99,TikTok,Smart TV,Active,
127,2024-01-27,Australia,45-54,Basic,Monthly,9.99,TikTok,Smart TV,Active,
128,2024-03-03,Canada,25-34,Basic,Monthly,9.99,Facebook,Mobile,Active,
129,2024-10-09,Brazil,18-24,Basic,Monthly,9.99,TikTok,Desktop,Churned,2024-12-07 00:00:00
130,2024-09-12,Australia,45-54,Premium,Monthly,14.99,YouTube,Smart TV,Active,
131,2024-05-04,Canada,55+,Basic,Monthly,9.99,Referral,Desktop,Active,
132,2024-02-05,France,35-44,Basic,Annual,9.99,Referral,Tablet,Active,
133,2024-01-02,Singapore,55+,Basic,Monthly,9.99,TikTok,Smart TV,Active,
134,2024-03-17,Germany,55+,Basic,Monthly,9.99,Referral,Smart TV,Active,
135,2024-08-21,Canada,55+,Premium,Annual,14.99,YouTube,Desktop,Active,
136,2024-07-29,France,45-54,Basic,Annual,9.99,TikTok,Desktop,Active,
137,2024-09-10,Singapore,35-44,Premium,Monthly,14.99,Google Ads,Smart TV,Active,
138,2024-02-21,UK,45-54,Standard,Monthly,12.99,TikTok,Desktop,Active,
139,2024-02-08,Germany,55+,Basic,Annual,9.99,TikTok,Smart TV,Active,
140,2024-11-28,UAE,45-54,Basic,Monthly,9.99,Facebook,Smart TV,Active,
141,2024-10-04,Australia,25-34,Basic,Monthly,9.99,TikTok,Mobile,Active,
142,2024-08-10,India,45-54,Premium,Annual,14.99,Instagram,Tablet,Active,
143,2024-01-15,Australia,35-44,Basic,Annual,9.99,Facebook,Smart TV,Active,
144,2024-03-15,UK,25-34,Basic,Monthly,9.99,Instagram,Mobile,Active,
145,2024-11-08,Canada,45-54,Premium,Monthly,14.99,Referral,Desktop,Active,
146,2024-04-28,USA,45-54,Basic,Monthly,9.99,Facebook,Desktop,Churned,2024-08-01 00:00:00
147,2024-02-07,Singapore,35-44,Basic,Monthly,9.99,TikTok,Smart TV,Active,
148,2024-12-19,Canada,45-54,Basic,Annual,9.99,YouTube,Mobile,Active,
149,2024-05-01,Australia,18-24,Basic,Monthly,9.99,TikTok,Smart TV,Churned,2024-08-14 00:00:00
150,2024-05-20,USA,55+,Basic,Annual,9.99,TikTok,Smart TV,Active,
151,2024-05-26,Germany,25-34,Standard,Monthly,12.99,TikTok,Desktop,Active,
152,2024-11-13,UK,18-24,Basic,Annual,9.99,TikTok,Mobile,Active,
153,2024-06-07,Germany,25-34,Standard,Monthly,12.99,Google Ads,Tablet,Active,
154,2024-06-16,UK,55+,Standard,Monthly,12.99,Facebook,Tablet,Active,
155,2024-03-25,Brazil,35-44,Basic,Annual,9.99,TikTok,Tablet,Active,
156,2024-02-28,Canada,45-54,Basic,Monthly,9.99,Referral,Tablet,Active,
157,2024-02-16,UAE,18-24,Standard,Monthly,12.99,YouTube,Tablet,Active,
158,2024-12-10,France,35-44,Standard,Monthly,12.99,Google Ads,Desktop,Active,
159,2024-08-29,UAE,35-44,Basic,Annual,9.99,Referral,Desktop,Active,
160,2024-11-27,Australia,45-54,Basic,Annual,9.99,Google Ads,Desktop,Active,
161,2024-01-24,Brazil,18-24,Premium,Monthly,14.99,Google Ads,Desktop,Active,
162,2024-10-02,UAE,45-54,Basic,Monthly,9.99,Referral,Desktop,Active,
163,2024-07-31,Singapore,45-54,Standard,Annual,12.99,Facebook,Mobile,Active,
164,2024-12-19,Canada,35-44,Basic,Monthly,9.99,Google Ads,Tablet,Active,
165,2024-10-05,USA,45-54,Premium,Monthly,14.99,Facebook,Desktop,Active,
166,2024-03-03,India,25-34,Premium,Annual,14.99,TikTok,Mobile,Active,
167,2024-01-26,UK,55+,Standard,Monthly,12.99,Instagram,Mobile,Active,
168,2024-10-10,Canada,35-44,Basic,Monthly,9.99,Instagram,Mobile,Active,
169,2024-05-21,UAE,35-44,Premium,Monthly,14.99,Instagram,Mobile,Churned,2024-07-23 00:00:00
170,2024-12-04,Germany,25-34,Premium,Monthly,14.99,Referral,Tablet,Active,
171,2024-01-09,France,55+,Basic,Monthly,9.99,Google Ads,Mobile,Active,
172,2024-08-31,Brazil,55+,Basic,Monthly,9.99,Instagram,Mobile,Churned,2024-10-27 00:00:00
173,2024-12-03,USA,18-24,Standard,Monthly,12.99,YouTube,Smart TV,Active,
174,2024-08-06,Brazil,18-24,Standard,Monthly,12.99,Google Ads,Tablet,Active,
175,2024-11-07,Singapore,55+,Basic,Monthly,9.99,Referral,Tablet,Active,
176,2024-07-14,Brazil,55+,Premium,Monthly,14.99,Referral,Smart TV,Active,
177,2024-02-20,UAE,25-34,Standard,Monthly,12.99,YouTube,Smart TV,Active,
178,2024-04-26,France,45-54,Basic,Annual,9.99,TikTok,Mobile,Active,
179,2024-06-09,Germany,25-34,Basic,Monthly,9.99,TikTok,Smart TV,Active,
180,2024-02-04,France,18-24,Basic,Monthly,9.99,TikTok,Tablet,Active,
181,2024-03-07,UAE,55+,Standard,Monthly,12.99,Facebook,Mobile,Active,
182,2024-07-29,France,18-24,Basic,Monthly,9.99,Facebook,Tablet,Active,
183,2024-06-29,UK,45-54,Basic,Monthly,9.99,Instagram,Mobile,Active,
184,2024-06-28,Australia,55+,Premium,Monthly,14.99,Instagram,Smart TV,Active,
185,2024-10-14,Singapore,55+,Premium,Annual,14.99,Google Ads,Tablet,Active,
186,2024-01-15,Australia,35-44,Basic,Annual,9.99,Facebook,Mobile,Active,
187,2024-04-02,France,18-24,Premium,Monthly,14.99,Instagram,Mobile,Active,
188,2024-02-16,France,45-54,Standard,Monthly,12.99,Facebook,Desktop,Active,
189,2024-07-08,Singapore,55+,Basic,Monthly,9.99,Google Ads,Mobile,Active,
190,2024-03-20,India,35-44,Basic,Monthly,9.99,YouTube,Smart TV,Active,
191,2024-09-05,Canada,55+,Standard,Monthly,12.99,Google Ads,Tablet,Active,
192,2024-08-08,Singapore,45-54,Basic,Monthly,9.99,Referral,Tablet,Active,
193,2024-01-24,USA,18-24,Basic,Annual,9.99,Instagram,Tablet,Active,
194,2024-04-18,Australia,35-44,Standard,Annual,12.99,Google Ads,Mobile,Active,
195,2024-09-11,France,55+,Standard,Monthly,12.99,TikTok,Desktop,Active,
196,2024-09-13,Germany,18-24,Standard,Monthly,12.99,YouTube,Mobile,Active,
197,2024-08-11,Germany,55+,Basic,Annual,9.99,YouTube,Smart TV,Active,
198,2024-12-29,France,18-24,Standard,Monthly,12.99,Facebook,Desktop,Active,
199,2024-11-12,Germany,18-24,Basic,Monthly,9.99,YouTube,Mobile,Active,
200,2024-05-04,India,45-54,Basic,Monthly,9.99,Facebook,Tablet,Active,
201,2024-04-23,UAE,18-24,Basic,Monthly,9.99,Referral,Desktop,Active,
202,2024-06-27,UK,25-34,Basic,Annual,9.99,Google Ads,Desktop,Active,
203,2024-05-11,India,25-34,Basic,Monthly,9.99,TikTok,Smart TV,Active,
204,2024-08-25,Brazil,55+,Standard,Annual,12.99,TikTok,Tablet,Active,
205,2024-11-17,Brazil,45-54,Basic,Monthly,9.99,TikTok,Tablet,Active,
206,2024-05-20,Australia,45-54,Standard,Monthly,12.99,YouTube,Mobile,Churned,2024-07-07 00:00:00
207,2024-01-30,Singapore,55+,Basic,Monthly,9.99,Referral,Smart TV,Churned,2024-03-23 00:00:00
208,2024-08-24,USA,45-54,Standard,Annual,12.99,Referral,Desktop,Active,
209,2024-06-13,Brazil,18-24,Standard,Monthly,12.99,Facebook,Mobile,Churned,2024-07-28 00:00:00
210,2024-09-15,Brazil,45-54,Standard,Monthly,12.99,Referral,Desktop,Active,
211,2024-07-05,France,35-44,Basic,Monthly,9.99,TikTok,Mobile,Active,
212,2024-11-19,India,55+,Standard,Monthly,12.99,TikTok,Smart TV,Active,
213,2024-05-25,Singapore,25-34,Basic,Annual,9.99,Facebook,Mobile,Active,
214,2024-10-25,Australia,45-54,Standard,Annual,12.99,Instagram,Mobile,Active,
215,2024-06-07,Germany,25-34,Standard,Monthly,12.99,TikTok,Mobile,Active,
216,2024-11-26,USA,35-44,Standard,Monthly,12.99,Facebook,Desktop,Active,
217,2024-04-19,Canada,25-34,Basic,Annual,9.99,Instagram,Desktop,Active,
218,2024-02-09,UAE,55+,Basic,Annual,9.99,TikTok,Mobile,Active,
219,2024-12-04,UK,55+,Basic,Annual,9.99,YouTube,Desktop,Active,
220,2024-03-24,Singapore,25-34,Basic,Monthly,9.99,TikTok,Smart TV,Active,
221,2024-01-23,Canada,45-54,Basic,Monthly,9.99,Referral,Tablet,Active,
222,2024-08-17,Brazil,25-34,Basic,Monthly,9.99,Facebook,Smart TV,Active,
223,2024-08-24,UAE,55+,Standard,Annual,12.99,YouTube,Desktop,Active,
224,2024-04-12,Australia,18-24,Premium,Monthly,14.99,TikTok,Smart TV,Active,
225,2024-07-09,UAE,18-24,Standard,Monthly,12.99,Facebook,Mobile,Active,
226,2024-03-23,UK,45-54,Basic,Annual,9.99,Google Ads,Desktop,Active,
227,2024-08-18,France,18-24,Premium,Annual,14.99,YouTube,Tablet,Active,
228,2024-04-30,Canada,18-24,Basic,Monthly,9.99,Facebook,Mobile,Active,
229,2024-12-31,UK,18-24,Standard,Annual,12.99,Facebook,Smart TV,Active,
230,2024-12-22,Brazil,45-54,Premium,Annual,14.99,Referral,Mobile,Active,
231,2024-02-10,UK,55+,Basic,Monthly,9.99,TikTok,Smart TV,Active,
232,2024-02-26,India,18-24,Standard,Monthly,12.99,Instagram,Smart TV,Active,
233,2024-11-23,India,45-54,Standard,Monthly,12.99,Referral,Mobile,Active,
234,2024-11-19,UK,35-44,Standard,Monthly,12.99,YouTube,Mobile,Active,
235,2024-11-10,UK,18-24,Basic,Monthly,9.99,Referral,Tablet,Active,
236,2024-02-04,UAE,55+,Premium,Monthly,14.99,Google Ads,Smart TV,Active,
237,2024-08-28,Germany,35-44,Basic,Monthly,9.99,TikTok,Mobile,Active,
238,2024-07-01,Singapore,35-44,Standard,Monthly,12.99,Instagram,Mobile,Churned,2024-08-26 00:00:00
239,2024-06-29,UK,45-54,Standard,Annual,12.99,TikTok,Smart TV,Active,
240,2024-11-19,Brazil,18-24,Basic,Monthly,9.99,Facebook,Desktop,Active,
241,2024-01-23,Germany,35-44,Standard,Annual,12.99,Referral,Smart TV,Active,
242,2024-10-05,Canada,35-44,Basic,Monthly,9.99,Facebook,Mobile,Active,
243,2024-12-01,Germany,45-54,Basic,Monthly,9.99,YouTube,Smart TV,Active,
244,2024-07-16,Brazil,35-44,Basic,Monthly,9.99,Referral,Tablet,Active,
245,2024-02-12,UAE,35-44,Standard,Monthly,12.99,Facebook,Mobile,Churned,2024-04-28 00:00:00
246,2024-02-10,Brazil,55+,Basic,Monthly,9.99,TikTok,Smart TV,Active,
247,2024-03-26,USA,35-44,Standard,Monthly,12.99,Referral,Smart TV,Active,
248,2024-05-20,USA,18-24,Standard,Annual,12.99,TikTok,Smart TV,Active,
249,2024-07-05,UK,18-24,Standard,Annual,12.99,Instagram,Smart TV,Active,
250,2024-01-18,Germany,35-44,Basic,Monthly,9.99,YouTube,Mobile,Active,
251,2024-11-05,Germany,35-44,Basic,Monthly,9.99,YouTube,Mobile,Active,
252,2024-10-20,Germany,35-44,Basic,Monthly,9.99,Instagram,Mobile,Active,
253,2024-01-14,France,55+,Standard,Monthly,12.99,Google Ads,Tablet,Active,
254,2024-05-13,Singapore,35-44,Standard,Monthly,12.99,TikTok,Smart TV,Active,
255,2024-04-12,Brazil,25-34,Basic,Annual,9.99,TikTok,Smart TV,Active,
256,2024-02-14,Germany,35-44,Premium,Annual,14.99,TikTok,Mobile,Active,
257,2024-10-08,UK,25-34,Standard,Annual,12.99,Facebook,Desktop,Active,
258,2024-03-03,Canada,45-54,Premium,Annual,14.99,Google Ads,Tablet,Active,
259,2024-10-10,UAE,25-34,Standard,Monthly,12.99,Referral,Mobile,Active,
260,2024-02-03,Brazil,55+,Basic,Annual,9.99,YouTube,Smart TV,Active,
261,2024-10-21,India,45-54,Basic,Annual,9.99,YouTube,Tablet,Active,
262,2024-03-06,Singapore,25-34,Premium,Annual,14.99,Instagram,Smart TV,Active,
263,2024-09-14,India,55+,Premium,Monthly,14.99,Instagram,Tablet,Active,
264,2024-03-25,Canada,35-44,Basic,Annual,9.99,Referral,Tablet,Active,
265,2024-02-10,UAE,35-44,Basic,Monthly,9.99,Instagram,Tablet,Active,
266,2024-11-10,UK,55+,Standard,Monthly,12.99,Referral,Desktop,Active,
267,2024-03-28,Singapore,35-44,Standard,Annual,12.99,Referral,Mobile,Active,
268,2024-01-15,Singapore,35-44,Basic,Annual,9.99,TikTok,Desktop,Active,
269,2024-10-19,Brazil,55+,Basic,Monthly,9.99,Facebook,Tablet,Active,
270,2024-09-04,France,35-44,Basic,Annual,9.99,YouTube,Mobile,Active,
271,2024-12-18,Brazil,45-54,Basic,Monthly,9.99,Instagram,Tablet,Active,
272,2024-11-06,Germany,35-44,Basic,Annual,9.99,YouTube,Desktop,Active,
273,2024-07-08,Canada,45-54,Standard,Monthly,12.99,Google Ads,Tablet,Active,
274,2024-08-18,Australia,45-54,Basic,Monthly,9.99,Referral,Smart TV,Active,
275,2024-05-07,Germany,55+,Premium,Annual,14.99,TikTok,Tablet,Active,
276,2024-04-07,UAE,45-54,Standard,Monthly,12.99,YouTube,Tablet,Active,
277,2024-09-11,UAE,45-54,Basic,Annual,9.99,Instagram,Desktop,Active,
278,2024-10-25,Brazil,55+,Basic,Monthly,9.99,TikTok,Smart TV,Active,
279,2024-05-26,France,25-34,Standard,Annual,12.99,Facebook,Tablet,Active,
280,2024-07-25,Singapore,55+,Basic,Monthly,9.99,Instagram,Tablet,Active,
281,2024-10-10,Brazil,55+,Basic,Monthly,9.99,Facebook,Mobile,Active,
282,2024-03-06,Germany,55+,Premium,Monthly,14.99,Facebook,Desktop,Active,
283,2024-04-11,USA,18-24,Standard,Monthly,12.99,Google Ads,Desktop,Active,
284,2024-12-31,UK,55+,Basic,Monthly,9.99,Referral,Desktop,Churned,2025-05-26 00:00:00
285,2024-06-16,France,55+,Premium,Monthly,14.99,TikTok,Tablet,Active,
286,2024-10-30,Brazil,55+,Basic,Annual,9.99,Facebook,Smart TV,Churned,2025-04-14 00:00:00
287,2024-01-09,France,55+,Basic,Monthly,9.99,Facebook,Mobile,Active,
288,2024-11-01,Singapore,55+,Basic,Annual,9.99,Instagram,Mobile,Active,
289,2024-10-25,Singapore,45-54,Basic,Monthly,9.99,Instagram,Desktop,Active,
290,2024-01-17,Canada,18-24,Standard,Annual,12.99,YouTube,Tablet,Active,
291,2024-08-02,UAE,55+,Basic,Monthly,9.99,YouTube,Mobile,Churned,2024-12-15 00:00:00
292,2024-12-27,Brazil,55+,Basic,Monthly,9.99,YouTube,Tablet,Churned,2025-04-19 00:00:00
293,2024-03-29,UAE,35-44,Basic,Monthly,9.99,TikTok,Tablet,Active,
294,2024-11-08,Australia,55+,Basic,Annual,9.99,Facebook,Desktop,Active,
295,2024-06-01,Brazil,35-44,Standard,Annual,12.99,YouTube,Tablet,Active,
296,2024-10-13,Australia,35-44,Premium,Annual,14.99,Google Ads,Smart TV,Active,
297,2024-07-21,UK,35-44,Premium,Annual,14.99,Google Ads,Tablet,Active,
298,2024-12-31,Australia,45-54,Basic,Annual,9.99,Instagram,Desktop,Active,
299,2024-10-02,Australia,25-34,Basic,Monthly,9.99,Google Ads,Desktop,Active,
300,2024-05-04,Canada,25-34,Basic,Annual,9.99,Google Ads,Mobile,Active,
301,2024-07-30,USA,55+,Basic,Monthly,9.99,Instagram,Smart TV,Churned,2024-10-03 00:00:00
302,2024-11-30,Brazil,25-34,Premium,Annual,14.99,Facebook,Tablet,Active,
303,2024-05-26,India,55+,Standard,Annual,12.99,Instagram,Mobile,Active,
304,2024-03-30,USA,45-54,Basic,Annual,9.99,YouTube,Desktop,Active,
305,2024-05-28,Singapore,55+,Premium,Monthly,14.99,Google Ads,Tablet,Active,
306,2024-05-25,UAE,45-54,Basic,Monthly,9.99,Instagram,Smart TV,Active,
307,2024-05-19,UK,45-54,Basic,Monthly,9.99,TikTok,Tablet,Active,
308,2024-04-05,Australia,55+,Basic,Monthly,9.99,TikTok,Desktop,Active,
309,2024-03-30,France,45-54,Standard,Monthly,12.99,Referral,Tablet,Active,
310,2024-02-14,UK,45-54,Basic,Monthly,9.99,Facebook,Desktop,Active,
311,2024-01-04,Australia,35-44,Basic,Monthly,9.99,Facebook,Mobile,Active,
312,2024-05-13,India,45-54,Standard,Monthly,12.99,Facebook,Desktop,Churned,2024-06-27 00:00:00
